start,goal,trial,metric,solver_setting,solver,toppra_limits,shortcut,payload_mass,torque_limit_scale,seed,rrt_success,rrt_time,rrt_waypoints,shortcut_time,shortcut_waypoints,num_control_points,shortcut_duration,shortcut_toppra_note,initial_parameterized,initial_cspace,initial_kinetic,cost_scale,solve_time,trajopt_success,solution_result,solver_exit_code,snopt_solve_time,final_cost,final_parameterized,final_cspace,final_kinetic,feasible_fraction,collision_free_fraction,worst_reachability_violation,worst_joint_limit_violation,toppra_note,duration,peak_velocity_utilization,peak_acceleration_utilization,peak_torque_utilization,median_velocity_utilization,velocity_active_fraction,median_acceleration_utilization,acceleration_active_fraction,median_torque_utilization,torque_active_fraction,binding_limit,mechanical_work,positive_work,thermal_integral,kinetic_energy_integral,peak_kinetic_energy
bottom,top,1,kinetic,tight,snopt,all,True,0.0,0.3,502992042,True,0.21533679962158203,27,0.8195607662200928,16,16,5.130596156844041,,1.8186302897418822,5.849342098841292,24.082646596949488,0.0415236753973157,50.08926200866699,True,SolutionResult.kSolutionFound,1,50.080861743,0.2192702017899433,0.7906088198729542,1.415492143294036,5.280606778949005,1.0,1.0,0.0,0.0,,1.6043817392636184,1.0007133269330757,1.0492867286907273,1.1033769555126127,0.9997437126454337,0.5275,0.5680107098124154,0.1075,0.7825056343242335,0.1575,torque,266.78996779767624,211.75617687640474,21050.215040236282,52.79349115397328,30.411342551300553
bottom,middle,4,parameterized,notebook,snopt,all,True,0.0,0.3,1095942084,True,0.7486588954925537,42,1.0336580276489258,11,11,3.7532642248452075,,6.300809260908588,12.030618147434614,41.17774215319822,0.15870977180728021,5.032922029495239,True,SolutionResult.kSolutionFound,1,5.020164787,0.14727207956296978,0.9279332827836249,2.517916162033488,10.578945591752364,1.0,1.0,0.0,0.0,,2.0090525319601693,1.0004666947378413,1.0000605633539073,1.1467783656141837,0.9999642562838474,0.615,0.48924669623299805,0.1425,0.806653705638128,0.0975,torque,218.73103010532452,149.23594475051536,24944.201934691577,50.279660944412015,21.50205359406781
bottom,middle,4,cspace,notebook,snopt,all,True,0.0,0.3,1095942084,True,0.7486588954925537,42,1.0336580276489258,11,11,3.7532642248452075,,6.300809260908588,12.030618147434614,41.17774215319822,0.08312124844667587,4.269962549209595,True,SolutionResult.kSolutionFound,1,4.258010459,0.17539002758660874,1.213825251821103,2.1100504487625127,9.19087941747163,1.0,1.0,0.0,0.0,,1.793415222022822,1.0005244459231846,1.06000242510186,1.0109361959711574,0.9999121419453599,0.535,0.4052846301496773,0.155,0.7686644831862118,0.1825,acceleration,204.35951783211019,141.34251340795623,23370.886157228597,49.48789130657339,21.94685520265758
bottom,middle,4,kinetic,notebook,snopt,all,True,0.0,0.3,1095942084,True,0.7486588954925537,42,1.0336580276489258,11,11,3.7532642248452075,,6.300809260908588,12.030618147434614,41.17774215319822,0.02428496434504803,7.268446207046509,True,SolutionResult.kSolutionFound,1,7.259529709,0.1877278353115469,1.115250857886559,1.9666507632789496,7.7302083974369395,1.0,1.0,0.0,0.0,,1.6727624886627273,1.0003697622605912,1.0989182887650428,1.0390150509219402,0.9999516807561926,0.54,0.5192056782832519,0.13,0.7716253767028347,0.18,acceleration,203.86471652781046,141.77902577821507,23171.638318726804,45.98997935735325,22.412538303483263
bottom,middle,4,parameterized,tight,snopt,all,True,0.0,0.3,1095942084,True,0.7486588954925537,42,1.0336580276489258,11,11,3.7532642248452075,,6.300809260908588,12.030618147434614,41.17774215319822,0.15870977180728021,9.633325099945068,True,SolutionResult.kSolutionFound,1,9.625214631,0.02524948415715783,0.1590921836105833,0.8613961585520471,3.302839561021503,1.0,1.0,0.0,1.3133476536530964e-05,,1.5356587675563944,1.0003657930315204,1.1421554843477222,1.0104952188545786,0.9999965844773469,0.6125,0.1107882217486002,0.1025,0.6570408949081191,0.1225,acceleration,111.20464462035748,93.79338223755357,14977.845953429694,20.65970553378526,12.673532929068699
bottom,middle,4,cspace,tight,snopt,all,True,0.0,0.3,1095942084,True,0.7486588954925537,42,1.0336580276489258,11,11,3.7532642248452075,,6.300809260908588,12.030618147434614,41.17774215319822,0.08312124844667587,45.372180461883545,True,SolutionResult.kSolutionFound,1,45.361461405,0.03938822795006533,0.23969500136664162,0.4738647299713472,1.6989732206795087,1.0,1.0,0.0,0.0,,1.006889482426049,1.0002521858578912,1.101181758953163,1.0078139576379523,0.9998628991561094,0.525,0.6154579396203856,0.24,0.7248818711501135,0.055,acceleration,110.83383913727567,93.26842752721711,11382.883400507948,17.413624924054403,14.266921830817406
bottom,middle,4,kinetic,tight,snopt,all,True,0.0,0.3,1095942084,True,0.7486588954925537,42,1.0336580276489258,11,11,3.7532642248452075,,6.300809260908588,12.030618147434614,41.17774215319822,0.02428496434504803,62.715933084487915,True,SolutionResult.kSolutionFound,1,62.707664718,0.04127104048881092,0.23969072843180522,0.4777357582931482,1.6994482636424597,1.0,1.0,0.0,0.0,,1.0144222171402812,1.0002739035184272,1.1054465547000543,1.0099973605669423,0.9998915330375678,0.53,0.5476803188313752,0.2425,0.7268003865474266,0.0525,acceleration,109.67754756654483,92.59921312883387,11262.368576151282,17.28334605034517,13.620617507407987
bottom,top,4,parameterized,notebook,snopt,all,True,0.0,0.3,1838282789,True,0.4852023124694824,29,0.9888262748718262,19,19,5.496637946420087,,2.155158726431325,4.53338186016062,17.213330786207926,0.46400294685295673,3.9948570728302,True,SolutionResult.kSolutionFound,1,3.979565776,0.4372985569703197,0.9424478011104096,2.3164014682948144,9.002894586751534,0.998,0.998,0.0,0.0,,2.489042190378078,1.0008873897809942,1.1897693161790897,1.0247725879115186,0.9949271655785428,0.5075,0.7020288835567139,0.22,0.766732317427684,0.12,acceleration,343.84490007973216,249.91999738986135,30839.38263626371,63.07502253195891,22.242992373136378
bottom,top,4,cspace,notebook,snopt,all,True,0.0,0.3,1838282789,True,0.4852023124694824,29,0.9888262748718262,19,19,5.496637946420087,,2.155158726431325,4.53338186016062,17.213330786207926,0.22058587404427682,4.9468629360198975,True,SolutionResult.kSolutionFound,1,4.93291659,0.36955529507812424,0.9465603005619767,1.6753352710334741,6.339777437634653,1.0,1.0,0.0,0.0,,1.9354535548457783,1.0005020204916804,1.240868246972523,1.0071306675342724,0.9996590860884845,0.5425,0.6529366344923447,0.1175,0.7917420877560647,0.1525,acceleration,294.7266111008031,226.16247673788627,25540.30097133184,61.01102251510238,25.864055458800912
bottom,top,4,kinetic,notebook,snopt,all,True,0.0,0.3,1838282789,True,0.4852023124694824,29,0.9888262748718262,19,19,5.496637946420087,,2.155158726431325,4.53338186016062,17.213330786207926,0.05809450898377226,13.943544864654541,True,SolutionResult.kSolutionFound,1,13.933514897,0.303086080540754,0.8810538633188669,1.4396237147991546,5.217120961043255,1.0,1.0,0.0,0.0,,1.7225451744419726,1.000588833705183,1.2006630656823436,1.0068700659304903,0.9964348044245304,0.51,0.5591261102421872,0.14,0.7886461969629288,0.0925,acceleration,279.76069892212206,218.17015249742465,22845.494810720207,57.73211499947374,27.413494019126166
