start,goal,trial,metric,solver_setting,solver,toppra_limits,shortcut,payload_mass,torque_limit_scale,seed,rrt_success,rrt_time,rrt_waypoints,shortcut_time,shortcut_waypoints,num_control_points,shortcut_duration,shortcut_toppra_note,initial_parameterized,initial_cspace,initial_kinetic,cost_scale,solve_time,trajopt_success,solution_result,solver_exit_code,final_cost,final_parameterized,final_cspace,final_kinetic,feasible_fraction,collision_free_fraction,worst_reachability_violation,worst_joint_limit_violation,toppra_note,duration,peak_velocity_utilization,peak_acceleration_utilization,peak_torque_utilization,median_velocity_utilization,velocity_active_fraction,median_acceleration_utilization,acceleration_active_fraction,median_torque_utilization,torque_active_fraction,binding_limit,mechanical_work,positive_work,thermal_integral,kinetic_energy_integral,peak_kinetic_energy
bottom,middle,6,parameterized,tight,ipopt,all,True,0.0,1.0,794615528,True,0.18575215339660645,45,0.5843906402587891,14,14,3.5157339506043286,,3.957795291090048,7.850812382362247,25.368120749656427,0.2526659229322045,13.98110318183899,True,SolutionResult.kSolutionFound,5,0.03052470694610082,0.12081054141318157,0.6259216754405723,2.411215523737901,1.0,1.0,0.0,9.417812024903327e-06,,1.5186157814982422,1.0006170570699653,1.1879308035526281,0.37962274610584323,0.9999685912221279,0.6225,0.1236043193897218,0.2,0.196496155036602,0.0,acceleration,111.37953216292107,93.69103610596204,15216.025861878692,20.741649317642356,14.962631229683991
bottom,middle,6,cspace,tight,ipopt,all,True,0.0,1.0,794615528,True,0.18575215339660645,45,0.5843906402587891,14,14,3.5157339506043286,,3.957795291090048,7.850812382362247,25.368120749656427,0.12737535318594737,95.53218078613281,True,SolutionResult.kSolutionFound,5,0.04556564706535917,0.18106548531009317,0.3577273461910697,1.28656503735442,1.0,1.0,0.0,0.0,,1.009375079285856,1.0004209975568392,1.1426977021588491,0.36163861907169564,0.9998373847710685,0.53,0.7607516793711226,0.285,0.20924299474223335,0.0,acceleration,111.84611065162375,93.8715722082238,11484.775061879402,17.356636833424076,14.669213214011975
bottom,middle,6,kinetic,tight,ipopt,all,True,0.0,1.0,794615528,True,0.18575215339660645,45,0.5843906402587891,14,14,3.5157339506043286,,3.957795291090048,7.850812382362247,25.368120749656427,0.03941955377256486,120.04016470909119,False,SolutionResult.kSolverSpecificError,3,0.05106756016239319,0.1830357805002932,0.36475150885795016,1.2954880325899345,1.0,1.0,0.0,0.0,,1.0209010931552567,1.0004529385218681,1.145775942692746,0.31870436893889614,0.9998894692118204,0.535,0.5560095253097586,0.2775,0.20503317500592566,0.0,acceleration,110.64303034212224,93.12271920101016,11307.127885827962,17.194034654482067,13.679336059313238
bottom,top,1,parameterized,notebook,ipopt,all,True,0.0,1.0,502992042,True,0.11612725257873535,27,0.45374298095703125,16,16,4.942076152851608,,1.8186302897418822,5.849342098841292,24.082646596949488,0.5498643708072902,8.60368824005127,True,SolutionResult.kSolutionFound,5,0.2763544263640605,0.5025865304899212,3.183664896818389,13.078818553978412,0.998,0.998,0.0,6.801196809202992e-05,,3.1045697558239795,1.0016555071553683,1.238856820454827,0.3528263512831453,1.0000009029228987,0.7175,0.17388829522980945,0.19,0.21305992113283892,0.0,acceleration,297.58750758177814,227.5402951873026,29158.802037583257,60.74815533821411,21.966834352605282
bottom,top,1,cspace,notebook,ipopt,all,True,0.0,1.0,502992042,True,0.11612725257873535,27,0.45374298095703125,16,16,4.942076152851608,,1.8186302897418822,5.849342098841292,24.082646596949488,0.17095939733087112,54.44655251502991,True,SolutionResult.kSolutionFound,5,0.23183396127530492,0.7224101112239837,1.3560761496287828,5.454657183059019,1.0,1.0,0.0,0.0,,1.6945035895258145,1.0006727803570143,1.0891432751412213,0.4113882341521624,0.9999991373056323,0.6725,0.3756049654412878,0.155,0.2203135888224594,0.0,acceleration,259.06777887521093,206.79182604819147,21966.650169874192,50.88028768186168,24.44696444051338
bottom,top,1,kinetic,notebook,ipopt,all,True,0.0,1.0,502992042,True,0.11612725257873535,27,0.45374298095703125,16,16,4.942076152851608,,1.8186302897418822,5.849342098841292,24.082646596949488,0.0415236753973157,60.149576902389526,False,SolutionResult.kSolverSpecificError,3,0.21990727779046124,0.8111317036495262,1.443681559364264,5.295949255124877,1.0,1.0,0.0,0.0,,1.5687276743015124,1.0007254611000258,1.04946134150782,0.38418276866469536,0.9999959145296402,0.6675,0.5847092912329912,0.1325,0.22721877497832357,0.0,acceleration,269.94206907687976,213.3434074055369,20938.999137073304,54.22566800063886,32.47177028937074
bottom,top,1,parameterized,tight,ipopt,all,True,0.0,1.0,502992042,True,0.11612725257873535,27,0.45374298095703125,16,16,4.942076152851608,,1.8186302897418822,5.849342098841292,24.082646596949488,0.5498643708072902,11.818257093429565,True,SolutionResult.kSolutionFound,5,0.27635437239661065,0.5025864323430848,3.1833240769286184,13.076188471109033,0.998,0.998,0.0,6.800495292846875e-05,,3.104103383638797,1.001656612947504,1.2387403854937797,0.35290313777164123,1.0000008592161937,0.7175,0.17407171854355125,0.19,0.2130360217561773,0.0,acceleration,297.5768896600679,227.52520509398593,29153.71599506159,60.743657967336134,21.96351425926508
bottom,top,1,cspace,tight,ipopt,all,True,0.0,1.0,502992042,True,0.11612725257873535,27,0.45374298095703125,16,16,4.942076152851608,,1.8186302897418822,5.849342098841292,24.082646596949488,0.17095939733087112,120.07538199424744,False,SolutionResult.kSolverSpecificError,3,0.23179159475931518,0.72311450755804,1.3558283333832228,5.451209822500849,1.0,1.0,0.0,0.0,,1.69292455454211,1.000663334631246,1.090620192063162,0.40655752523612204,0.9999996485098543,0.675,0.38633832169079657,0.1325,0.22036791655404048,0.0,acceleration,259.1903921650203,207.14249188037795,21960.23768310004,50.902746033718415,24.397843966358987
bottom,top,1,kinetic,tight,ipopt,all,True,0.0,1.0,502992042,True,0.11612725257873535,27,0.45374298095703125,16,16,4.942076152851608,,1.8186302897418822,5.849342098841292,24.082646596949488,0.0415236753973157,120.16051435470581,False,SolutionResult.kSolverSpecificError,3,0.21946132909453742,0.8081205474060982,1.4390281532908684,5.285209630280572,1.0,1.0,0.0,0.0,,1.5716724989516184,1.0006953047181657,1.0496426087042146,0.38736710365050586,0.9999997321190477,0.6575,0.5895024117818839,0.15,0.23158626258334622,0.0,acceleration,268.5278094076943,212.27198304450673,20958.003449367658,54.04444838648483,32.214761283734575
bottom,middle,0,parameterized,notebook,ipopt,all,True,0.0,1.0,1178565597,True,0.3095095157623291,49,0.2593402862548828,17,17,5.190776545362005,,4.239167263994292,8.653506838271408,23.43304246023828,0.2358953864579915,8.35533094406128,True,SolutionResult.kSolutionFound,5,0.02371049629695848,0.10051275971512497,0.5211061166941219,2.0247460743169428,1.0,1.0,0.0,0.0,,1.5247970946115177,1.0014083389578048,1.2682260207673186,0.38629657757747327,0.9999429629415086,0.615,0.24440286463410188,0.2075,0.2000420065220922,0.0,acceleration,112.71826475833302,94.76733954603512,15467.59858714159,21.2373817705609,13.702948209261518
bottom,middle,0,cspace,notebook,ipopt,all,True,0.0,1.0,1178565597,True,0.3095095157623291,49,0.2593402862548828,17,17,5.190776545362005,,4.239167263994292,8.653506838271408,23.43304246023828,0.11556008664341175,45.98490071296692,True,SolutionResult.kSolutionFound,5,0.033189360230011074,0.14436848944918723,0.28720435570825387,1.044767535054259,1.0,1.0,0.0,0.0,,0.9994666255363478,1.0005522629344556,1.181121829236187,0.370304460772614,0.9779715074223108,0.4825,0.8403227672223168,0.27,0.21662456890705653,0.0,acceleration,117.79638480811286,96.60410722456916,11775.26943741642,17.815256295062923,16.88990333294868
bottom,middle,0,kinetic,notebook,ipopt,all,True,0.0,1.0,1178565597,True,0.3095095157623291,49,0.2593402862548828,17,17,5.190776545362005,,4.239167263994292,8.653506838271408,23.43304246023828,0.042674782913777534,60.382022857666016,False,SolutionResult.kSolverSpecificError,3,0.0461551112528596,0.16442843204785304,0.31340420901836813,1.0815546817452808,1.0,1.0,0.0,0.0,,1.0327865885484684,1.00050071588491,1.1849937601841103,0.374263360661624,0.9998132328294742,0.54,0.7933743822142778,0.1875,0.2178051041897775,0.0,acceleration,120.74481691743219,98.38490500415278,11609.971011956193,17.69799589401022,15.567400694344887
bottom,middle,0,parameterized,tight,ipopt,all,True,0.0,1.0,1178565597,True,0.3095095157623291,49,0.2593402862548828,17,17,5.190776545362005,,4.239167263994292,8.653506838271408,23.43304246023828,0.2358953864579915,20.8820538520813,True,SolutionResult.kSolutionFound,5,0.02290596747057553,0.0971022274513815,0.5200376949351179,1.9947841249178913,1.0,1.0,0.0,1.791786701454967e-05,,1.557858134509258,1.000933802219597,1.2348011138341402,0.4159156712340534,0.999953559319072,0.6125,0.10332551461372166,0.1825,0.19579510504142686,0.0,acceleration,111.86254025029008,93.90358475542115,15441.96885601982,20.588546004231326,14.243473044280318
